Winner,Player1,Player2,MoveCount,FirstMove,Outcome
X,Bot,Bot,7,"(1, 3)",Win
Draw,Bot,Bot,9,"(3, 2)",Draw
X,Bot,Bot,7,"(1, 1)",Win
O,Bot,Bot,8,"(3, 3)",Lose
X,Bot,Bot,5,"(3, 3)",Win
O,Bot,Bot,8,"(2, 2)",Lose
X,Bot,Bot,7,"(2, 2)",Win
X,Bot,Bot,7,"(3, 3)",Win
X,Bot,Bot,9,"(2, 3)",Win
O,Bot,Bot,6,"(3, 1)",Lose
X,Bot,Bot,7,"(3, 1)",Win
O,Bot,Bot,6,"(3, 1)",Lose
X,Bot,Bot,5,"(1, 1)",Win
X,Bot,Bot,5,"(2, 3)",Win
Draw,Bot,Bot,9,"(1, 3)",Draw
X,Bot,Bot,9,"(3, 3)",Win
X,Bot,Bot,5,"(2, 1)",Win
X,Bot,Bot,7,"(1, 2)",Win
X,Bot,Bot,7,"(2, 3)",Win
O,Bot,Bot,8,"(1, 2)",Lose
X,Bot,Bot,7,"(2, 1)",Win
X,Bot,Bot,9,"(3, 3)",Win
O,Bot,Bot,8,"(3, 2)",Lose
X,Bot,Bot,9,"(1, 3)",Win
X,Bot,Bot,7,"(3, 1)",Win
X,Bot,Bot,9,"(2, 1)",Win
X,Bot,Bot,9,"(1, 1)",Win
O,Bot,Bot,6,"(1, 2)",Lose
X,Bot,Bot,7,"(3, 3)",Win
X,Bot,Bot,7,"(2, 2)",Win
O,Bot,Bot,8,"(1, 2)",Lose
Draw,Bot,Bot,9,"(3, 2)",Draw
X,Bot,Bot,7,"(2, 3)",Win
X,Bot,Bot,7,"(3, 3)",Win
Draw,Bot,Bot,9,"(3, 1)",Draw
X,Bot,Bot,5,"(3, 1)",Win
X,Bot,Bot,5,"(3, 1)",Win
O,Bot,Bot,6,"(1, 2)",Lose
X,Bot,Bot,7,"(3, 1)",Win
X,Bot,Bot,7,"(3, 3)",Win
X,Bot,Bot,7,"(3, 2)",Win
O,Bot,Bot,6,"(2, 1)",Lose
X,Bot,Bot,9,"(2, 2)",Win
X,Bot,Bot,9,"(1, 1)",Win
X,Bot,Bot,7,"(2, 1)",Win
X,Bot,Bot,7,"(2, 1)",Win
Draw,Bot,Bot,9,"(3, 3)",Draw
O,Bot,Bot,6,"(3, 3)",Lose
X,Bot,Bot,9,"(2, 1)",Win
Draw,Bot,Bot,9,"(1, 2)",Draw
X,Bot,Bot,7,"(3, 2)",Win
O,Bot,Bot,8,"(3, 1)",Lose
Draw,Bot,Bot,9,"(3, 1)",Draw
Draw,Bot,Bot,9,"(1, 3)",Draw
X,Bot,Bot,5,"(2, 1)",Win
X,Bot,Bot,5,"(3, 3)",Win
X,Bot,Bot,7,"(1, 1)",Win
X,Bot,Bot,7,"(2, 1)",Win
X,Bot,Bot,7,"(3, 2)",Win
X,Bot,Bot,5,"(3, 2)",Win
